,name,date
79,Team Fortress 2,https://static.metacritic.com/images/products/games/6/43275793dfcefd238b98ee2d88939192-98.jpg
80,Final Fantasy XII,https://static.metacritic.com/images/products/games/9/f31d130bdbaa3a0e1f74e744349fb34f-98.jpg
81,Super Mario World: Super Mario Advance 2,https://static.metacritic.com/images/products/games/8/5f6feb85d196ccad9296f6a651fb42fa-98.jpg
82,Rome: Total War,https://static.metacritic.com/images/products/games/8/ad55d9788ea13dda7e5bb26cc91bebb5-98.jpg
83,Super Smash Bros. Melee,https://static.metacritic.com/images/products/games/2/ce2253ae8ccda749432abce5bf9704fc-98.jpg
84,Forza Motorsport 3,https://static.metacritic.com/images/products/games/4/7a32661fe419a5c83118a3080732ee5a-98.jpg
85,Tony Hawk's Pro Skater,https://static.metacritic.com/images/products/games/8/059013a8a670e5095a3aed3578525c22-98.jpg
86,Super Mario Sunshine,https://static.metacritic.com/images/products/games/3/2301cd42a12f22abc02386f4db6be4b2-98.jpg
87,Thief: The Dark Project,https://static.metacritic.com/images/products/games/8/5ad714bbb546e18712d102ff186a860c-98.jpg
88,Age of Empires II: The Age of Kings,https://static.metacritic.com/images/products/games/9/53abcfcadb6f434b568c2796266719c1-98.jpg
89,Fire Emblem: Awakening,https://static.metacritic.com/images/products/games/7/28f99406a0bd02b1eabe932b08e70fca-98.jpg
90,Sid Meier's Alpha Centauri,https://static.metacritic.com/images/products/games/5/a03b34d6914545e009e220641c077282-98.jpg
91,Unreal Tournament (1999),https://static.metacritic.com/images/products/games/7/357f319f140dffaa47e3750dda02411e-98.jpg
92,Final Fantasy X,https://static.metacritic.com/images/products/games/5/b7f26182e71fdd691cd0801827cf0180-98.jpg
93,Super Smash Bros. for Wii U,https://static.metacritic.com/images/products/games/2/16c5274896a7b7bebc8705b51bb427dc-98.jpg
94,Galactic Civilizations II: Twilight of the Arnor,https://static.metacritic.com/images/products/games/5/2237ad0c25e6f081fa3fcbd5260c101b-98.jpg
95,Wave Race 64,https://static.metacritic.com/images/products/games/1/b0d2364f763465350130cb716a94e0a1-98.jpg
96,Chrono Trigger,https://static.metacritic.com/images/products/games/1/18fb04116449897b794477cfabbc9b5c-98.jpg
97,Xenoblade Chronicles,https://static.metacritic.com/images/products/games/0/50229636af5b08561069ca8a953a1cad-98.jpg
98,Conker's Bad Fur Day,https://static.metacritic.com/images/products/games/4/b00858c98efd550238c03422664a2dea-98.jpg
99,Mario Kart 8 Deluxe,https://static.metacritic.com/images/products/games/3/47645cf22467c563a70fca6c8930b5ba-98.jpg
100,The ICO & Shadow of the Colossus Collection,https://static.metacritic.com/images/products/games/8/39d71f081d5125e4047472e3a3087d94-98.jpg
101,Metroid Prime 2: Echoes,https://static.metacritic.com/images/products/games/5/f35b394325a97880e1119abdb3040f29-98.jpg
102,Out of the Park Baseball 17,https://static.metacritic.com/images/products/games/9/b238df9640d72ce55102ef2d32cc9ca0-98.jpg
103,Final Fantasy VI Advance,https://static.metacritic.com/images/products/games/4/851b036f01ceff4c3eb6f7ed3d3b6b68-98.jpg
104,Metroid Fusion,https://static.metacritic.com/images/products/games/0/6fcefda39efcc83dfb720c95f29a25b9-98.jpg
105,Medal of Honor: Allied Assault,https://static.metacritic.com/images/products/games/9/59b0a16eb0c85a314d5dcafc20cd34f7-98.jpg
106,Myth: The Fallen Lords,https://static.metacritic.com/images/products/games/0/9b2b57cbbfdff713e41d1498f6ae05e0-98.jpg
107,Dishonored,https://static.metacritic.com/images/products/games/2/5579c6cdb4efaaab0dc07abaa4bf6644-98.jpg
108,LittleBigPlanet 2,https://static.metacritic.com/images/products/games/7/d19a11fa8aff99a09a9f34858bd7511c-98.jpg
109,Psychonauts 2,https://static.metacritic.com/images/products/games/6/d435a53fcd13e1ff6d64bf32e053dd64-98.jpg
110,Guitar Hero,https://static.metacritic.com/images/products/games/0/0d2c48bcdd83f45b4f4ec10359cd41fd-98.jpg
111,Metroid Prime Trilogy,https://static.metacritic.com/images/products/games/1/8c8df35f95f26fd350c969c3d2cc8e87-98.jpg
112,Baldur's Gate,https://static.metacritic.com/images/products/games/2/89a0525888498746e946d4df9faeb383-98.jpg
113,World of Warcraft: Wrath of the Lich King,https://static.metacritic.com/images/products/games/5/e6f4d1b934f771c4f48823d5d560c051-98.jpg
114,Klonoa 2: Lunatea's Veil,https://static.metacritic.com/images/products/games/6/2835a47f4c9ff4946765017709bac195-98.jpg
115,F1 Challenge '99-'02,https://static.metacritic.com/images/products/games/2/b87a595e7008b848233fa3ef6cb517b0-98.jpg
116,Mario Tennis,https://static.metacritic.com/images/products/games/8/404e27e5e116e46a5efb883c78d6d300-98.jpg
117,FreeSpace 2,https://static.metacritic.com/images/products/games/3/28edf758857984205ae5ad2aa0edeac0-98.jpg
118,IL-2 Sturmovik,https://static.metacritic.com/images/products/games/0/9370bb068a74c8c81a364fc7a4244318-98.jpg
119,Colony Wars,https://static.metacritic.com/images/products/games/3/45688158c3cdea5500e5160be1043d8c-98.jpg
120,Resident Evil (2002),https://static.metacritic.com/images/products/games/1/04846c8119f1197648f9d0d5773108a7-98.jpg
